AKAM,Akamai Technologies Inc,20111004,Level 3 says to cut hundreds of jobs in U.S. ,NEW YORK Level 3 Communications Inc  expects to lay off hundreds of employees  mostly in the United States  as part of its effort to integrate its $1.9 billion Global Crossing purchase  a top executive said.,topStory
TCO,Taubman Centers Inc,20111004,Taubman Centers snaps up two U.S. properties ,Upscale mall owner Taubman Centers Inc  will make its first acquisition in eight years when it buys the Mall at Green Hills in Nashville and The Gardens of El Paseo/El Paseo Village in Palm Desert  California  for $560 million.,topStory
TCO,Taubman Centers Inc,20111004,UPDATE 1-Taubman Centers snaps up two U.S. properties , * Buys Nashville mall  California upscale shopping center,normal
GCI,TEGNA Inc,20111004,How to Play It: Finding the right channels for investors ,THE ISSUE: The new TV season and watershed events such as the Olympics and the 2012 elections are likely to attract big advertising dollars  focusing investor attention on media and entertainment. What networks will attract the most investor interest  and can internet rivals Google and Yahoo compete?,topStory
GCI,TEGNA Inc,20111004,CORRECTED - How to Play It: Finding the right channels for investors , (Corrects second paragraph to say CBS gained the most amount of viewers in the 2010-2011 season  not the upcoming 2011-2012 period),normal
TI,Telecom Italia SPA,20111004,UPDATE 1-TIM Brasil sets price for $926 mln new share sale , * TIM shares closed down on Tuesday 3.6 pct at 8.68 reais  (Adds market context  company strategy),topStory
TI,Telecom Italia SPA,20111004,TIM Brasil prices $926 mln new share sale , SAO PAULO  Oct 4 TIM Participacoes   Brazil's second-largest wireless phone company  will issue 1.72 billion reais ($926 million) of new shares  the company said in a security filing late on Tuesday.,normal
TI,Telecom Italia SPA,20111004,Text-&P revises Telecom Italia outlook to neg; S-T cut ,(The following statement was released by the rating agency.),normal
BX,The Blackstone Group LP,20111004,DealTalk: Private equity deals for banks fraught with risks ,LONDON Private equity firms see only limited scope to invest in Europe's under-capitalized banks  as they could run the risk of losing their shirts and face political resistance.,topStory
SCHW,The Charles Schwab Corporation,20111004,E*Trade to boost sales force  focus on retirement ,NEW YORK Online broker E*Trade Financial plans to double its sales force over the next couple of years to 400 from 200 as it seeks to increase its share of client assets in the investment retirement sector  the firm's chief financial officer  Matthew Audette  said on Monday.,topStory
TIF,Tiffany & Co,20111004,Insight: Gucci  Tiffany target Chinese banks ,NEW YORK Two Western luxury-goods giants are taking a controversial tack in the fight on Chinese knockoffs  by targeting the U.S. branches of major Chinese banks that allegedly do business with the pirates.,topStory
TIF,Tiffany & Co,20111004,Taubman Centers snaps up two U.S. properties ,Upscale mall owner Taubman Centers Inc  will make its first acquisition in eight years when it buys the Mall at Green Hills in Nashville and The Gardens of El Paseo/El Paseo Village in Palm Desert  California  for $560 million.,normal
TIF,Tiffany & Co,20111004,UPDATE 1-Taubman Centers snaps up two U.S. properties , * Buys Nashville mall  California upscale shopping center,normal
TSU,TIM Participacoes SA,20111004,UPDATE 1-TIM Brasil sets price for $926 mln new share sale , * TIM shares closed down on Tuesday 3.6 pct at 8.68 reais  (Adds market context  company strategy),topStory
TSU,TIM Participacoes SA,20111004,TIM Brasil prices $926 mln new share sale , SAO PAULO  Oct 4 TIM Participacoes   Brazil's second-largest wireless phone company  will issue 1.72 billion reais ($926 million) of new shares  the company said in a security filing late on Tuesday.,normal
TJX,TJX Companies Inc (The),20111004,PREVIEW-UPDATE 1-September likely solid for U.S. chains , * Same-store sales rise of 4.6 pct seen - Thomson Reuters,topStory
TJX,TJX Companies Inc (The),20111004,Banks losing ground on card security ,U.S. banks are losing ground in the battle to combat credit and debit card fraud  a new report shows  underscoring the growing threat thieves and hackers pose for the financial system.,normal
TJX,TJX Companies Inc (The),20111004,U.S. banks losing ground on card security - report , * Worldwide card fraud rises 10 pct to $7.6 bln in 2010,normal
TJX,TJX Companies Inc (The),20111004,September likely solid  not stellar  for U.S. chains ,CHICAGO Shoppers hunting for back-to-school deals gave a nice boost to U.S. discount chains in September  though the rocky stock market and economic malaise may have curbed some people's desire to spend more.,normal
TJX,TJX Companies Inc (The),20111004,PREVIEW-September likely solid  not stellar  for US chains , * Same-store sales rise of 4.7 pct seen - Thomson Reuters,normal
TD,Toronto Dominion Bank (The),20111004,CANADA STOCKS-TSX cuts losses after plunge to 23-month low , * Hits November 2009 low  falls 24 pct since 2011 highs  (Adds traders citing talk of a euro-zone finance minister agreement),topStory
TD,Toronto Dominion Bank (The),20111004,CANADA STOCKS-TSX cuts losses after plunge to 23-month low , * Hits November 2009 low  falls 24 pct since 2011 highs  (Updates to close),normal
TD,Toronto Dominion Bank (The),20111004,CANADA STOCKS-European fears drive TSX to 23-month low , * Index down 24 percent since 2011 highs  (Updates with details  comments),normal
TOT,Total SA,20111004,UPDATE 3-Kazakhstan sees 50 pct oil export growth by 2020 , ASTANA  Oct 4 Kazakhstan  Central Asia's largest oil producer  plans to raise annual crude exports to 110 million tonnes by 2020 from the 72 million tonnes forecast for this year  the country's oil and gas minister said on Tuesday.,topStory
TOT,Total SA,20111004,French and Benelux stocks-Factors to watch on Oct 4 , PARIS  Oct 4 Below are company-related news and stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,normal
UBS,UBS AG,20111004,Merrill renames institutional group  hires new team , Oct 4 Bank of America Merrill Lynch  has renamed its institutional advising group and hired a new team with $2.7 billion in assets under management  the firm said in an internal memo on Monday.,topStory
UBS,UBS AG,20111004,"Wolf of Wall Street" says his story offers lesson ,HONG KONG Jordan Belfort  a former trader who ended up in jail in the 1990s for defrauding investors out of millions of dollars  is now an author and motivational speaker  with a movie about him starring Leonardo DiCaprio set to start filming soon.,normal
UBS,UBS AG,20111004,UBS third-quarter credit gains to cancel out trading loss ,ZURICH Swiss bank UBS AG   said it expects to report a modest third-quarter net profit  easing concerns about the impact of the $2.3 billion rogue trading loss uncovered last month as the bank chalks up gains on credit derivatives.,normal
UBS,UBS AG,20111004,UPDATE 5-UBS Q3 credit gains to cancel out trading loss , * Expects modest Q3 net profit  1.5 bln Sfr in own credit gains,normal
UBS,UBS AG,20111004,No big outflows since trade scandal: UBS CFO ,ZURICH The trading scandal at Swiss bank UBS AG   discovered last month has not resulted in lots of clients withdrawing their money  the finance chief said on Tuesday.,normal
UBS,UBS AG,20111004,No big outflows since trade scandal-UBS CFO , ZURICH  Oct 4 The trading scandal at Swiss bank UBS AG  discovered last month has not resulted in lots of clients withdrawing their money  the finance chief said on Tuesday.,normal
UBS,UBS AG,20111004,UBS sees investment bank helping wealth management-CFO , ZURICH  Oct 4 Swiss bank UBS said its investment bank will serve its wealth management business  Chief Financial Officer Tom Naratil said in slides accompanying a presentation on Tuesday.,normal
UBS,UBS AG,20111004,Switzerland tops list of tax haven nations: network ,Switzerland  despite bank settlements with the United States to disclose tax evaders  remains the top refuge for financial secrecy  according to a new international ranking of tax haven countries.,normal
UN,Unilever NV,20111004,Israel's Tnuva bows to pressure to report earnings , JERUSALEM  Oct 4 Israel's largest food maker Tnuva reported financial results for the first time on Tuesday following months of public protests and claims the company was earning large profits through very high prices.,topStory
UL,Unilever PLC,20111004,Israel's Tnuva bows to pressure to report earnings , JERUSALEM  Oct 4 Israel's largest food maker Tnuva reported financial results for the first time on Tuesday following months of public protests and claims the company was earning large profits through very high prices.,topStory
UAL,United Continental Holdings Inc,20111004,AMR seen pressured  but not ready for bankruptcy ,American Airlines may be the most likely big U.S. airline to go bankrupt  but the sum of its hardships -- high labor costs and weak cash flow -- do not add up to an imminent Chapter 11 filing  according to analysts who study the carrier's finances.,topStory
UAL,United Continental Holdings Inc,20111004,UPDATE 1-AMR seen pressured  but not ready for bankruptcy , * AMR shares bounce 20 percent after sharp drop Monday  (Adds labor costs and merger outlook. Updates shares.),normal
UAL,United Continental Holdings Inc,20111004,AMR pressured but not ready for bankruptcy-experts , Oct 4 American Airlines may be the most likely big U.S. airline to go bankrupt  but the sum of its hardships -- high labor costs and weak cash flow -- do not add up to an imminent Chapter 11 filing  according to experts who study the carrier's finances.,normal
VRX,Valeant Pharmaceuticals International Inc,20111004,Afexa board advises shareholders accept raised Valeant offer ,Canadian cold and flu medicine maker Afexa Life Sciences Inc   which is at the center of a takeover battle  said its board recommended shareholders accept Valeant Pharmaceuticals'  raised offer.,topStory
VLO,Valero Energy Corporation,20111004,UPDATE 1-Nustar says Eagle Ford pipeline in service , Oct 4 Texas-based Nustar Energy  said on Tuesday its eight-inch pipeline that will transport Eagle Ford crude and condensates to Valero's  Corpus Christi refinery went online on Sept. 21.,topStory
VLO,Valero Energy Corporation,20111004,Nustar says Eagle Ford pipeline in service , Oct 4 Texas-based Nustar Energy  said on Tuesday its eight-inch pipeline that will transport Eagle Ford crude and condensates to Valero's  Corpus Christi refinery went online on Sept. 21.,normal
VLO,Valero Energy Corporation,20111004,Valero overhauling Three Rivers crude unit  FCC , Oct 4 Valero Energy Corp's  93 000 barrel per day (bpd) Three Rivers  Texas  refinery was overhauling the sole crude distillation unit and gasoline-producing fluidic catalytic cracking unit on Tuesday  a company spokesman said.,normal
VLO,Valero Energy Corporation,20111004,Delaware City refinery reports cat cracker emissions-filing , (For refinery outages in the Reuters Oil FundamentalsDatabase see http://bond.views.session.rservices.com/CE/ or go to  ),normal
VZ,Verizon Communications Inc,20111004,Sprint confirms plan to sell iPhone ,NEW YORK Sprint Nextel confirmed that it will sell the next version of Apple Inc's iPhone  ending months of speculation about whether it would become the third U.S. operator to sell the popular device.,topStory
VZ,Verizon Communications Inc,20111004,UPDATE 1-Sprint confirms plan to sell iPhone , * Sprint shares close up 5 pct after 10 pct drop Monday,normal
VZ,Verizon Communications Inc,20111004,Level 3 says to cut hundreds of jobs in U.S. ,NEW YORK Level 3 Communications Inc  expects to lay off hundreds of employees  mostly in the United States  as part of its effort to integrate its $1.9 billion Global Crossing purchase  a top executive said.,normal
VZ,Verizon Communications Inc,20111004,UPDATE 1-Apple to showcase new iPhone after 15-month hiatus , * Apple event starts at 1 pm Eastern  (Adds share prices  details on Google rivalry),normal
VZ,Verizon Communications Inc,20111004,Apple to showcase new iPhone after 15-month hiatus , SAN FRANCISCO  Oct 4 Apple Inc  looks set to unveil a new iPhone on Tuesday after a 15-month hiatus  hoping to fend off hard-charging rivals running Google Inc's  Android and safeguard its lead with the fifth incarnation of the iconic device.,normal
VZA,Verizon Communications Inc,20111004,Sprint confirms plan to sell iPhone ,NEW YORK Sprint Nextel confirmed that it will sell the next version of Apple Inc's iPhone  ending months of speculation about whether it would become the third U.S. operator to sell the popular device.,topStory
VZA,Verizon Communications Inc,20111004,UPDATE 1-Sprint confirms plan to sell iPhone , * Sprint shares close up 5 pct after 10 pct drop Monday,normal
VZA,Verizon Communications Inc,20111004,Level 3 says to cut hundreds of jobs in U.S. ,NEW YORK Level 3 Communications Inc  expects to lay off hundreds of employees  mostly in the United States  as part of its effort to integrate its $1.9 billion Global Crossing purchase  a top executive said.,normal
VZA,Verizon Communications Inc,20111004,UPDATE 1-Apple to showcase new iPhone after 15-month hiatus , * Apple event starts at 1 pm Eastern  (Adds share prices  details on Google rivalry),normal
VZA,Verizon Communications Inc,20111004,Apple to showcase new iPhone after 15-month hiatus , SAN FRANCISCO  Oct 4 Apple Inc  looks set to unveil a new iPhone on Tuesday after a 15-month hiatus  hoping to fend off hard-charging rivals running Google Inc's  Android and safeguard its lead with the fifth incarnation of the iconic device.,normal
WMT,Wal-Mart Stores Inc,20111004,Top U.S. Mexican dining chain files for bankruptcy ,The leading Mexican restaurant operator in the United States filed for bankruptcy on Tuesday and put its El Torito  Chevys Fresh Mex and Acapulco Mexican Restaurant chains up for sale.,topStory
WMT,Wal-Mart Stores Inc,20111004,Toys R Us expands layaway to spur holiday shopping ,    Oct 4 Toys R Us [TOY.UL]  the world's largest toy store chain  is making its layaway payment option available for a wider array of gifts for the upcoming holiday season  saying its shoppers need the help.,normal
DIS,Walt Disney Company (The),20111004,Disney moves in on Angry Birds with Swampy game ,LOS ANGELES/NEW YORK It's not surprising  perhaps  that a game based on a sewer-dwelling alligator named "Swampy" ranks as the top paid app for iPhones and iPads. What's surprising is that the game is a product of Walt Disney Co.,topStory
DIS,Walt Disney Company (The),20111004,"Nemo " "Little Mermaid" swim back to big screen in 3D ,LOS ANGELES Hot on the heels of the box office success of "The Lion King 3D " Disney and Pixar are reviving four of their classic animated films in 3D versions for movie theaters.,normal
DIS,Walt Disney Company (The),20111004,Disney moves in on Angry Birds with Swampy game ,   * Gator 'Swampy' lifts Disney game to top of Apple charts,normal
DIS,Walt Disney Company (The),20111004,"Nemo"  "Little Mermaid" swim back to big screen in 3D , LOS ANGELES  Oct 4 Hot on the heels of the box office success of "The Lion King 3D " Disney and Pixar are reviving four of their classic animated films in 3D versions for movie theaters.,normal
DIS,Walt Disney Company (The),20111004,UPDATE 4-EU court clears fans to watch games via foreign boxes , * ECJ says it may be legal for fans to use foreign TV services,normal
DIS,Walt Disney Company (The),20111004,ESPN pulls Hank Jr. theme from football show ,BOSTON ESPN pulled Hank Williams Jr.'s theme song from its "Monday Night Football" broadcast in a rebuke to the country music star for comments earlier in the day comparing President Barack Obama to Adolf Hitler.,normal
DIS,Walt Disney Company (The),20111004,UPDATE 1-ESPN pulls Hank Jr. theme from foobtall show , BOSTON  Oct 3 Sports network ESPN pulled Hank Williams Jr.'s theme song from its "Monday Night Football" broadcast in a rebuke to the country music star for comments earlier in the day comparing President Barack Obama to Adolf Hitler.,normal
WFC,Wells Fargo & Company,20111004,Republican drops opposition to US banking nominee , WASHINGTON  Oct 4 A key U.S. senator said on Tuesday that he no longer has concerns about President Barack Obama's nominee to lead the agency overseeing national banks  and that he would not block a vote on the nomination.,topStory
WFC,Wells Fargo & Company,20111004,Final Wachovia branches set to disappear soon , CHARLOTTE  N.C.  Oct 4 Three years after selling itself to Wells Fargo & Co   Wachovia is finally disappearing.,normal
YUM,Yum! Brands Inc,20111004,KFC parent Yum fails to ease China fears ,KFC parent Yum Brands Inc  posted a quarterly profit that failed to assuage investor worries about slowing growth in China  its biggest market.,topStory
YUM,Yum! Brands Inc,20111004,UPDATE 3-KFC parent Yum fails to ease China fears , (Adds analyst and investor comment  byline  updates share activity),normal
YUM,Yum! Brands Inc,20111004,US STOCKS-Wall St set to open in bear market on Greece fears , * Futures off: Dow 93 pts; S&P 6.3 pts; Nasdaq 12.25 pts   (Updates prices),normal
YUM,Yum! Brands Inc,20111004,US STOCKS-Futures off on Greece fears  Goldman cuts GDP view , * Futures off: Dow 116 pts; S&P 11.9 pts; Nasdaq 19.75 pts   (Adds analyst comment  Goldman forecast  updates prices),normal
YUM,Yum! Brands Inc,20111004,US STOCKS-Futures fall on Greece fears  banks still in focus , * Futures off: Dow 81 pts; S&P 6.4 pts; Nasdaq 11.5 pts,normal
YUM,Yum! Brands Inc,20111004,South African Markets - Factors to watch on Oct 4 , JOHANNESBURG  Oct 4 The following company announcements  scheduled economic indicators  debt and currency market moves and political events may affect South African markets on Tuesday.,normal
YUM,Yum! Brands Inc,20111004,Yum's KFC to add 250 S.Africa stores by 2015 -report , JOHANNESBURG  Oct 4 Yum Brands plans to add 250 of its Kentucky Fried Chicken restaurants in South Africa by 2015  bringing its total to 850  Business Report newspaper said on Tuesday  citing a company executive.,normal
