AXAS,Abraxas Petroleum Corporation,20110926,Lack of sand helps explain well costs gap -Kodiak , * Flooding delayed shipment of sand for fracking -Abraxas,topStory
VR,Validus Holdings Ltd,20110926,Transatlantic in talks with new bidder ,Transatlantic Holdings Inc  said on Monday it entered into deal talks with an undisclosed bidder  adding a fresh twist in a months-long takeover saga and sending the reinsurer's shares up sharply.,topStory
VR,Validus Holdings Ltd,20110926,UPDATE 3-Transatlantic in talks with new bidder , * Transatlantic shares rise 4.2 pct  (Adds analyst; updates shares),normal
VZ,Verizon Communications Inc,20110926,Verizon takes Samsung's side in spat with Apple ,Verizon Wireless  the biggest U.S. mobile provider  has taken a legal stand against Apple Inc's request to ban the sale of some Samsung Electronics Co devices in the United States.,topStory
VZ,Verizon Communications Inc,20110926,UPDATE 1-Verizon takes Samsung's side in spat with Apple , * Samsung in multiple legal battles with Apple  (Adds details of lawsuit and background on dispute),normal
VZ,Verizon Communications Inc,20110926,REFILE-Verizon takes Samsung's side in spat with Apple , Sept 26 Verizon Wireless  the biggest U.S. mobile provider  has taken a legal stand against Apple Inc's  request to prohibit the sale of some Samsung Electronics models in the United States.,normal
VZA,Verizon Communications Inc,20110926,Verizon takes Samsung's side in spat with Apple ,Verizon Wireless  the biggest U.S. mobile provider  has taken a legal stand against Apple Inc's request to ban the sale of some Samsung Electronics Co devices in the United States.,topStory
VZA,Verizon Communications Inc,20110926,UPDATE 1-Verizon takes Samsung's side in spat with Apple , * Samsung in multiple legal battles with Apple  (Adds details of lawsuit and background on dispute),normal
VZA,Verizon Communications Inc,20110926,REFILE-Verizon takes Samsung's side in spat with Apple , Sept 26 Verizon Wireless  the biggest U.S. mobile provider  has taken a legal stand against Apple Inc's  request to prohibit the sale of some Samsung Electronics models in the United States.,normal
VMC,Vulcan Materials Company,20110926,S&P revises Vulcan Materials Co. outlk to negative ,(The following statement was released by the rating agency.) -- In our opinion  a weak economic recovery in the U.S. will contribute to a more sluggish rebound in residential and commercial construction relative to our previous expectations. -- We lowered our near-term EBITDA expectations for U.S. aggregates producer Vulcan Materials Co. to reflect our more cautious view of the company's key end markets. -- We are revising the rating outlook to negative and are affirming our ratings on Vulcan  i,topStory
WMT,Wal-Mart Stores Inc,20110926,PRESS DIGEST - New York Times - Sept 26 , Sept 26 The New York Times reported the following stories on its business pages on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
DIS,Walt Disney Company (The),20110926,3D "Lion King" rules box office for second week ,LOS ANGELES "The Lion King" fended off Brad Pitt to keep the box-office crown for a second straight weekend. | Video ,topStory
WFC,Wells Fargo & Company,20110926,UBS's new CEO commits to keeping U.S. brokerage ,NEW YORK UBS AG's top two executives reassured the company's U.S. brokers and advisers on Monday that the embattled Swiss banking giant has no plans to sell UBS Wealth Management Americas.,topStory
WFC,Wells Fargo & Company,20110926,UPDATE 1-UBS's new CEO commits to keeping US brokerage , * Brokers on defensive with clients over latest scandal,normal
WFC,Wells Fargo & Company,20110926,On the Move-Morgan Stanley Smith Barney hires Wells Fargo team , NEW YORK  Sept 26 Morgan Stanley Smith Barney  the largest U.S. brokerage  said on Monday the firm has hired two former Wells Fargo advisers in New Jersey who together produced a revenue of more than $2 million over the past year.,normal
WFC,Wells Fargo & Company,20110926,BRIEF-Moody's cuts 3 series of repack notes of Max Capital Ltd , * Moody's downgrades 3 series of repack notes of Max Capital Ltd,normal
WLL,Whiting Petroleum Corporation,20110926,Lack of sand helps explain well costs gap -Kodiak , * Flooding delayed shipment of sand for fracking -Abraxas,topStory
WIT,Wipro Limited,20110926,Deals of the day - mergers and acquisitions , Sept 26 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2000 GMT on Monday:,topStory
WIT,Wipro Limited,20110926,Wipro in talks to sell assets in U.S. unit -report , MUMBAI  Sept 26 Wipro Ltd   India's No.3 software services exporter  is considering selling data centres and other computer hardware assets of its U.S. unit Infocrossing  the Economic Times reported on Monday  quoting unnamed officials and bankers familiar with the talks.,normal
YGE,Yingli Green Energy Holding Company Limited,20110926,Italy solar capacity growth to slow down in 2012 ,MILAN Italy's total installed photovoltaic (PV) capacity is expected to rise to at least 15 gigawatts by the end of 2012  with growth slowing down under its new incentive plan  senior industry officials said on Monday.,topStory
YGE,Yingli Green Energy Holding Company Limited,20110926,UPDATE 1-Italy solar capacity growth to slow down in 2012 , * Main driver next year to be installations under 1 MW   (Combines pvs stories  adds new comments  background),normal
